sample_id,timestamp,location_id,hazard_label,image_path,temperature,humidity,aqi,pm25,pm10,co,no2,so2,rainfall,wind_speed,pressure,traffic_density
S00092,1786763620,LOC-005,SMOKE_FIRE_RISK,data/images/S00092.jpg,34.05,23.89,555.77,172.62,361.89,0.51,55.58,23.59,0.13,3.68,1007.97,0.54
S00093,1786763920,LOC-005,HEAVY_RAIN,data/images/S00093.jpg,17.27,83.8,23.02,28.95,27.27,0.86,40.22,8.41,49.94,14.4,1002.67,0.31
S00094,1786764220,LOC-001,NORMAL,data/images/S00094.jpg,25.36,50.13,61.94,21.54,39.55,1.29,51.21,0,0.59,7.69,1012.28,0.44
S00095,1786764520,LOC-004,SMOKE_FIRE_RISK,data/images/S00095.jpg,35.19,23.75,303.36,182.48,284.98,0.42,23.83,5.61,0,1.27,1006.48,0.52
S00096,1786764820,LOC-005,HEAVY_RAIN,data/images/S00096.jpg,27.5,82.16,40.92,8.46,40.11,0.14,46.71,2.75,41.63,29.77,999.69,0.26
S00097,1786765120,LOC-001,SMOKE_FIRE_RISK,data/images/S00097.jpg,35.72,36.64,184.99,277.45,304.29,1.3,33.98,24.51,0.32,3.7,1001.16,0.82
S00098,1786765420,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00098.jpg,40.43,91.18,352.9,164.34,254.84,1.94,29.77,19.91,47.56,34.57,996.53,0.51
S00099,1786765720,LOC-004,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00099.jpg,38.4,97.5,317.46,181.91,311.06,0.74,47.43,19.67,47.33,37.93,996.43,0.61
S00100,1786766020,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00100.jpg,44.79,91.03,395.59,192.76,208.95,0.88,48.97,7.37,102.36,35.06,996.37,0.88
S00101,1786766320,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00101.jpg,38.1,90.52,405.45,317.81,279.15,0.7,16.39,5.01,42.43,43.44,994.08,0.64
S00102,1786766620,LOC-003,AIR_POLLUTION,data/images/S00102.jpg,30.31,67.84,300.13,192.83,125.08,1.5,35.36,5.09,1.3,1.72,1011.07,0.37
S00103,1786766920,LOC-002,AIR_POLLUTION,data/images/S00103.jpg,32.75,33.02,270.32,208.68,154.99,0.64,45.66,12.43,0,5.88,1009.23,0.54
S00104,1786767220,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00104.jpg,49.26,91.85,314.6,188.55,329.92,1.89,37.72,6.99,66.03,40.37,980.64,0.3
S00105,1786767520,LOC-004,AIR_POLLUTION,data/images/S00105.jpg,23.57,48.86,226.16,185.43,289.53,0.47,29.52,14.87,0,7.32,1012.97,0.44
S00106,1786767820,LOC-001,AIR_POLLUTION,data/images/S00106.jpg,31.38,48.85,217.1,209.71,175.31,2.12,26.79,6.77,0.71,6.64,1012.29,0.58
S00107,1786768120,LOC-004,HEAVY_RAIN,data/images/S00107.jpg,27.04,96.55,43.31,23.72,39.94,0.28,44.75,1.25,47.15,27.41,998.52,0.5
S00108,1786768420,LOC-002,AIR_POLLUTION,data/images/S00108.jpg,28.83,51.11,219.71,143.54,195.48,0.37,53.34,19.37,0,4.93,1012.71,0.26
S00109,1786768720,LOC-001,LOW_VISIBILITY,data/images/S00109.jpg,21.17,82.66,186.12,121.76,144.3,1.11,48.72,15.75,7.7,2.2,1013.63,0.47
S00110,1786769020,LOC-001,LOW_VISIBILITY,data/images/S00110.jpg,23.72,75.42,100.75,107.15,103.16,0.98,38.1,12.14,5.09,1.97,1010.36,0.29
S00111,1786769320,LOC-001,FLOOD_RISK,data/images/S00111.jpg,27.16,88.13,68.5,46.07,48.94,1.9,33.03,10.12,54.96,19.23,993.65,0.25
S00112,1786769620,LOC-004,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00112.jpg,46.28,96.32,235.67,246.79,280.2,0.97,60.87,3.24,90.65,42.29,991.47,0.53
S00113,1786769920,LOC-005,NORMAL,data/images/S00113.jpg,22.7,75.03,41.73,20.56,33.31,0.9,38.53,14.51,0.17,4.15,1013.87,0.42
S00114,1786770220,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00114.jpg,47.46,96.92,462.37,196.92,155.83,1.22,51.53,9.44,65.55,33.49,1000.91,0.66
S00115,1786770520,LOC-004,SMOKE_FIRE_RISK,data/images/S00115.jpg,48.54,45.16,358.97,264.94,337.37,0,62.2,3.61,0,9.77,1005.72,0.37
S00116,1786770820,LOC-001,HEAVY_RAIN,data/images/S00116.jpg,21.22,81.71,60.55,22.6,11.23,1.2,48.37,18.47,39.37,25.44,1005.76,0.3
S00117,1786771120,LOC-003,NORMAL,data/images/S00117.jpg,29.86,49.08,41.41,17.19,30.17,0,44.84,3.54,0,9.26,1014.12,0.6
S00118,1786771420,LOC-003,SMOKE_FIRE_RISK,data/images/S00118.jpg,47.29,39.3,325.92,212.31,293.09,0.62,69.15,24.88,0.21,13.28,1006.42,0.52
S00119,1786771720,LOC-002,SMOKE_FIRE_RISK,data/images/S00119.jpg,35.49,32.07,230.99,191.82,309.9,0.57,40.25,5.55,0.08,9.48,1004.58,0.67
S00120,1786772020,LOC-004,NORMAL,data/images/S00120.jpg,29.06,53.02,20.74,19.29,23.07,1.08,66.39,11.78,0.67,5.1,1005.45,0.7
S00121,1786772320,LOC-001,FLOOD_RISK,data/images/S00121.jpg,19.6,100,43.66,3.94,37.53,1.97,22.49,13.6,60.79,20.55,998.21,0.34
S00122,1786772620,LOC-004,NORMAL,data/images/S00122.jpg,25.71,60.17,46.72,21.2,41.22,1.95,21.63,18.67,0.14,0.01,1012.74,0.15
S00123,1786772920,LOC-003,HEAVY_RAIN,data/images/S00123.jpg,25.11,83.46,66.1,14.47,38.21,0.55,35.74,21.09,54.59,15.79,993.17,0.2
S00124,1786773220,LOC-005,LOW_VISIBILITY,data/images/S00124.jpg,19.81,84.27,170.13,97.54,191.89,0.94,49.03,12.49,4.7,1.39,1009.97,0.63
S00125,1786773520,LOC-001,AIR_POLLUTION,data/images/S00125.jpg,30.71,63.85,199.12,170.11,203.19,1.33,47.41,0.94,0.4,1.37,1012.69,0.21
S00126,1786773820,LOC-001,FLOOD_RISK,data/images/S00126.jpg,24.76,88.32,76.24,37.96,57.21,0.42,28.96,20.55,65.73,21.26,997.31,0.12
S00127,1786774120,LOC-001,NORMAL,data/images/S00127.jpg,29.74,67.13,39.47,18.67,36.61,1.47,31.84,8.45,0,13.12,1015.41,0.8
S00128,1786774420,LOC-004,LOW_VISIBILITY,data/images/S00128.jpg,22.15,86.8,85.24,138.09,104.64,1.22,34.01,22.41,4.26,4.35,1012.9,0.17
S00129,1786774720,LOC-001,NORMAL,data/images/S00129.jpg,25.0,64.6,54.58,21.09,33.04,0.87,53.35,21.89,1.54,8.11,1008.56,0.54
S00130,1786775020,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00130.jpg,41.14,90.92,317.87,150.9,269.38,0.9,47.03,22.28,104.68,40.33,998.16,0.27
S00131,1786775320,LOC-004,FLOOD_RISK,data/images/S00131.jpg,23.36,83.98,65.3,30.32,37.86,1.15,53.93,25.76,63.02,23.4,1001.47,0.73
S00132,1786775620,LOC-001,LOW_VISIBILITY,data/images/S00132.jpg,15.86,74.38,107.38,142.7,137.88,0.5,30.67,22.89,10.27,1.21,1017.24,0.18
S00133,1786775920,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00133.jpg,40.79,98.3,255.63,298.51,262.86,1.11,35.71,15.86,42.9,21.94,992.83,0.35
S00134,1786776220,LOC-002,NORMAL,data/images/S00134.jpg,25.01,36.22,43.1,29.11,43.86,0.87,23.13,9.88,0.96,4.49,1007.97,0.25
S00135,1786776520,LOC-004,AIR_POLLUTION,data/images/S00135.jpg,29.68,69.35,179.38,179.21,276.2,0.19,16.34,21.36,0,3.21,1010.18,0.75
S00136,1786776820,LOC-001,LOW_VISIBILITY,data/images/S00136.jpg,20.66,85.44,105.83,95.17,201.38,0.7,25.71,2.8,2.24,0.59,1003.27,0.26
S00137,1786777120,LOC-005,FLOOD_RISK,data/images/S00137.jpg,26.18,84.83,71.21,19.68,55.24,0.39,49.39,0,73.21,17.49,997.48,0.4
S00138,1786777420,LOC-004,AIR_POLLUTION,data/images/S00138.jpg,28.15,51.16,267.04,184.67,195.62,1.1,16.75,13.46,0,4.8,1005.44,0.27
S00139,1786777720,LOC-003,LOW_VISIBILITY,data/images/S00139.jpg,18.84,84.62,162.75,81.13,117.38,0.82,39.35,10.34,0,2.84,1012.7,0.73
S00140,1786778020,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00140.jpg,44.72,92.28,297.57,200.33,299.54,0.6,37.7,12.42,72.95,29.0,994.97,0.7
S00141,1786778320,LOC-003,FLOOD_RISK,data/images/S00141.jpg,27.52,87.47,54.7,6.21,49.62,1.09,27.26,12.67,53.69,12.11,999.67,0.34
S00142,1786778620,LOC-001,HEAVY_RAIN,data/images/S00142.jpg,20.89,93.62,63.53,17.63,30.07,0.57,32.69,8.39,35.88,23.15,1006.44,0.55
S00143,1786778920,LOC-005,LOW_VISIBILITY,data/images/S00143.jpg,20.77,77.04,146.65,126.0,194.59,1.61,23.59,0,5.14,0.95,1008.06,0.38
S00144,1786779220,LOC-001,NORMAL,data/images/S00144.jpg,19.88,45.65,66.73,18.9,45.25,1.11,44.6,27.94,1.63,8.74,1013.46,0.71
S00145,1786779520,LOC-005,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00145.jpg,37.73,86.49,357.35,251.29,266.51,0.63,44.51,20.78,102.02,31.23,993.09,0.19
S00146,1786779820,LOC-004,NORMAL,data/images/S00146.jpg,22.95,67.65,30.5,23.4,32.88,0.19,41.75,13.35,0,11.1,1008.54,0.85
S00147,1786780120,LOC-003,HEAVY_RAIN,data/images/S00147.jpg,16.66,78.72,53.0,0,40.44,0.04,38.59,12.56,48.4,24.47,999.49,0.59
S00148,1786780420,LOC-001,FLOOD_RISK,data/images/S00148.jpg,26.27,87.63,72.52,0,41.25,1.43,57.71,9.88,29.51,19.26,996.28,0.55
S00149,1786780720,LOC-003,FLOOD_RISK,data/images/S00149.jpg,24.66,93.32,67.19,30.88,46.51,0.04,46.69,7.72,97.55,23.35,997.41,0.84
S00150,1786781020,LOC-001,SMOKE_FIRE_RISK,data/images/S00150.jpg,29.11,31.34,276.05,269.45,255.39,1.03,58.55,22.71,0.01,3.53,1009.48,0.63
S00151,1786781320,LOC-005,FLOOD_RISK,data/images/S00151.jpg,23.49,89.0,56.54,18.31,42.74,1.44,21.91,12.71,57.87,21.73,996.64,0.2
S00152,1786781620,LOC-005,LOW_VISIBILITY,data/images/S00152.jpg,22.67,84.36,176.18,137.68,183.3,1.32,44.41,30.43,3.95,2.54,1003.74,0.52
S00153,1786781920,LOC-005,SMOKE_FIRE_RISK,data/images/S00153.jpg,43.45,30.8,386.48,176.75,287.46,0.95,10.67,19.41,0,7.38,1006.98,0.11
S00154,1786782220,LOC-004,FLOOD_RISK,data/images/S00154.jpg,22.84,79.88,58.25,33.74,51.88,0.59,41.26,17.72,54.27,6.73,1002.6,0.58
S00155,1786782520,LOC-004,LOW_VISIBILITY,data/images/S00155.jpg,18.86,68.49,166.58,109.96,165.19,1.59,22.16,19.01,10.41,5.11,1004.59,0.38
S00156,1786782820,LOC-003,NORMAL,data/images/S00156.jpg,23.18,63.06,39.64,7.82,43.65,1.87,59.67,19.54,1.79,10.21,1011.15,0.79
